,rank,artist,song,rank_last_week,peak_rank,weeks_on_chart,date,week
369,70,BrockHampton,SUGAR,0,70,1,2020-01-25,4
370,71,JACKBOYS & Sheck Wes,GANG GANG,48,48,2,2020-01-25,4
371,72,NLE Choppa,Camelot,65,37,17,2020-01-25,4
"372,73,""Layton Greene, Lil Baby, City Girls & PnB Rock"",Leave Em Alone,67,60,14,2020-01-25,4"
373,74,Jason Aldean,We Back,77,74,6,2020-01-25,4
374,75,Luke Bryan,What She Wants Tonight,86,75,3,2020-01-25,4
375,76,Don Toliver Featuring Quavo & Offset,HAD ENOUGH,52,52,2,2020-01-25,4
376,77,Niall Horan,Nice To Meet Ya,75,63,13,2020-01-25,4
377,78,Jimmie Allen,Make Me Want To,84,78,2,2020-01-25,4
378,79,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,89,73,6,2020-01-25,4
379,80,DaniLeigh Featuring Chris Brown,Easy,79,79,10,2020-01-25,4
380,81,Harry Styles,Watermelon Sugar,82,54,7,2020-01-25,4
381,82,Ingrid Andress,More Hearts Than Mine,88,82,2,2020-01-25,4
382,83,Riley Green,I Wish Grandpas Never Died,90,83,2,2020-01-25,4
383,84,Kelsea Ballerini,homecoming queen?,87,82,5,2020-01-25,4
384,85,YNW Melly & 9lokknine,223's,78,34,18,2020-01-25,4
385,86,Roddy Ricch Featuring Meek Mill,Peta,0,72,3,2020-01-25,4
386,87,Karol G & Nicki Minaj,Tusa,76,76,6,2020-01-25,4
387,88,Tory Lanez & T-Pain,Jerry Sprunger,93,44,6,2020-01-25,4
388,89,Post Malone Featuring DaBaby,Enemies,85,16,18,2020-01-25,4
389,90,Olivia Rodrigo,All I Want,0,90,1,2020-01-25,4
390,91,Noah Cyrus & Leon Bridges,July,100,91,2,2020-01-25,4
391,92,Bad Bunny,Vete,83,33,7,2020-01-25,4
392,93,Carly Pearce & Lee Brice,I Hope You're Happy Now,0,93,1,2020-01-25,4
393,94,Lil Tjay,20/20,0,94,1,2020-01-25,4
394,95,Doja Cat Featuring Nicki Minaj,Say So,0,95,1,2020-01-25,4
395,96,YoungBoy Never Broke Again,Make No Sense,0,57,9,2020-01-25,4
396,97,Jordan Davis,Slow Dance In A Parking Lot,99,97,2,2020-01-25,4
397,98,Baby Keem,ORANGE SODA,0,98,1,2020-01-25,4
398,99,Moneybagg Yo X Megan Thee Stallion,All Dat,0,70,3,2020-01-25,4
399,100,JACKBOYS Featuring Don Toliver,WHAT TO DO?,56,56,2,2020-01-25,4
400,1,Roddy Ricch,The Box,1,1,6,2020-02-01,5
401,2,Future Featuring Drake,Life Is Good,0,2,1,2020-02-01,5
402,3,Post Malone,Circles,3,1,20,2020-02-01,5
403,4,Maroon 5,Memories,4,2,17,2020-02-01,5
404,5,Selena Gomez,Lose You To Love Me,10,1,13,2020-02-01,5
405,6,Lewis Capaldi,Someone You Loved,6,1,36,2020-02-01,5
"406,7,Dan + Shay & Justin Bieber,""10,000 Hours"",5,4,15,2020-02-01,5"
407,8,Tones And I,Dance Monkey,7,7,15,2020-02-01,5
408,9,Arizona Zervas,Roxanne,9,4,11,2020-02-01,5
409,10,Justin Bieber,Yummy,2,2,2,2020-02-01,5
410,11,Lizzo,Good As Hell,8,3,21,2020-02-01,5
411,12,DaBaby,BOP,12,11,16,2020-02-01,5
412,13,Mustard & Roddy Ricch,Ballin',11,11,26,2020-02-01,5
413,14,Dua Lipa,Don't Start Now,14,14,11,2020-02-01,5
414,15,Travis Scott,HIGHEST IN THE ROOM,13,1,15,2020-02-01,5
415,16,Lil Baby,Sum 2 Prove,0,16,1,2020-02-01,5
416,17,Mac Miller,Good News,0,17,1,2020-02-01,5
417,18,The Weeknd,Heartless,17,1,8,2020-02-01,5
418,19,Chris Brown Featuring Drake,No Guidance,15,5,32,2020-02-01,5
419,20,SHAED,Trampoline,16,13,33,2020-02-01,5
420,21,Lil Baby,Woah,22,16,10,2020-02-01,5
421,22,Billie Eilish,Everything I Wanted,19,8,10,2020-02-01,5
422,23,Maren Morris,The Bones,26,23,17,2020-02-01,5
423,24,Shawn Mendes & Camila Cabello,Senorita,18,1,30,2020-02-01,5
424,25,blackbear,Hot Girl Bummer,29,25,18,2020-02-01,5
425,26,Harry Styles,Adore You,24,24,6,2020-02-01,5
426,27,Roddy Ricch Featuring Mustard,High Fashion,35,27,3,2020-02-01,5
427,28,Lil Nas X,Panini,23,5,30,2020-02-01,5
428,29,Halsey,You Should Be Sad,0,29,1,2020-02-01,5
429,30,Selena Gomez,Rare,0,30,1,2020-02-01,5
430,31,Young Thug Featuring Gunna,Hot,21,11,22,2020-02-01,5
431,32,The Weeknd,Blinding Lights,39,11,7,2020-02-01,5
432,33,Lizzo,Truth Hurts,20,1,37,2020-02-01,5
433,34,Jonas Brothers,Only Human,25,18,30,2020-02-01,5
434,35,Juice WRLD & YoungBoy Never Broke Again,Bandit,28,10,15,2020-02-01,5
435,36,Old Dominion,One Man Band,27,20,21,2020-02-01,5
436,37,Luke Combs,Even Though I'm Leaving,31,11,20,2020-02-01,5
437,38,Ed Sheeran & Justin Bieber,I Don't Care,32,2,33,2020-02-01,5
438,39,YNW Melly & Juice WRLD,Suicidal,41,39,8,2020-02-01,5
439,40,Billie Eilish,Bad Guy,33,1,42,2020-02-01,5
440,41,Trevor Daniel,Falling,38,31,9,2020-02-01,5
441,42,Jonas Brothers,Sucker,34,1,41,2020-02-01,5
442,43,Lil Uzi Vert,Futsal Shuffle 2020,30,5,5,2020-02-01,5
443,44,Camila Cabello Featuring DaBaby,My Oh My,44,44,6,2020-02-01,5
444,45,Doja Cat & Tyga,Juicy,48,45,12,2020-02-01,5
445,46,Wale Featuring Jeremih,On Chill,37,22,23,2020-02-01,5
446,47,Jon Pardi,Heartache Medication,51,47,16,2020-02-01,5
447,48,Khalid,Talk,42,3,46,2020-02-01,5
448,49,Lady Antebellum,What If I Never Get Over You,40,40,21,2020-02-01,5
449,50,Taylor Swift,Lover,36,10,22,2020-02-01,5
450,51,Sam Hunt,Kinfolks,54,51,14,2020-02-01,5
451,52,Dustin Lynch,Ridin' Roads,47,47,11,2020-02-01,5
452,53,MoneyBagg Yo Featuring Lil Baby,U Played,60,53,2,2020-02-01,5
453,54,Summer Walker,Playing Games,49,16,20,2020-02-01,5
454,55,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,62,28,7,2020-02-01,5
455,56,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,61,53,6,2020-02-01,5
456,57,DaBaby,VIBEZ,53,21,16,2020-02-01,5
457,58,Halsey,Graveyard,43,34,18,2020-02-01,5
458,59,Chris Brown Featuring Gunna,Heat,55,36,20,2020-02-01,5
459,60,Kane Brown,Homesick,63,60,9,2020-02-01,5
460,61,Rod Wave,Heart On Ice,59,54,10,2020-02-01,5
461,62,Roddy Ricch & Gunna,Start Wit Me,56,56,9,2020-02-01,5
462,63,Don Toliver,No Idea,58,43,7,2020-02-01,5
463,64,Gabby Barrett Featuring Charlie Puth,I Hope,65,64,3,2020-02-01,5
464,65,JACKBOYS Featuring Young Thug,Out West,52,38,3,2020-02-01,5
465,66,BrockHampton,SUGAR,70,66,2,2020-02-01,5
466,67,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),68,66,8,2020-02-01,5
467,68,Russ & BIA,BEST ON EARTH,69,68,6,2020-02-01,5
468,69,Karol G & Nicki Minaj,Tusa,87,69,7,2020-02-01,5
469,70,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,66,8,19,2020-02-01,5
470,71,H.E.R. Featuring YG,Slide,67,67,4,2020-02-01,5
471,72,Jason Aldean,We Back,74,72,7,2020-02-01,5
472,73,Luke Bryan,What She Wants Tonight,75,73,4,2020-02-01,5
473,74,Jimmie Allen,Make Me Want To,78,74,3,2020-02-01,5
474,75,Riley Green,I Wish Grandpas Never Died,83,75,3,2020-02-01,5
475,76,Ingrid Andress,More Hearts Than Mine,82,76,3,2020-02-01,5
476,77,Doja Cat Featuring Nicki Minaj,Say So,95,77,2,2020-02-01,5
477,78,NLE Choppa,Camelot,72,37,18,2020-02-01,5
478,79,YoungBoy Never Broke Again,Make No Sense,96,57,10,2020-02-01,5
479,80,Thomas Rhett,Remember You Young,64,53,18,2020-02-01,5
480,81,DaniLeigh Featuring Chris Brown,Easy,80,79,11,2020-02-01,5
481,82,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,79,73,7,2020-02-01,5
482,83,Khalid,Eleven,0,83,1,2020-02-01,5
483,84,Moneybagg Yo X Megan Thee Stallion,All Dat,99,70,4,2020-02-01,5
"484,85,""Layton Greene, Lil Baby, City Girls & PnB Rock"",Leave Em Alone,73,60,15,2020-02-01,5"
485,86,John Legend,Conversations In The Dark,0,86,1,2020-02-01,5
486,87,Carly Pearce & Lee Brice,I Hope You're Happy Now,93,87,2,2020-02-01,5
487,88,Tory Lanez & T-Pain,Jerry Sprunger,88,44,7,2020-02-01,5
488,89,Moneybagg Yo Featuring DaBaby,Protect da Brand,0,89,1,2020-02-01,5
489,90,Idina Menzel & AURORA,Into The Unknown,57,46,8,2020-02-01,5
490,91,Bad Bunny,Vete,92,33,8,2020-02-01,5
491,92,Selena Gomez,Look At Her Now.,0,27,4,2020-02-01,5
492,93,Kelsea Ballerini,homecoming queen?,84,82,6,2020-02-01,5
493,94,Harry Styles,Watermelon Sugar,81,54,8,2020-02-01,5
494,95,Niall Horan,Nice To Meet Ya,77,63,14,2020-02-01,5
495,96,Noah Cyrus & Leon Bridges,July,91,91,3,2020-02-01,5
496,97,Roddy Ricch Featuring Meek Mill,Peta,86,72,4,2020-02-01,5
497,98,YNW Melly & 9lokknine,223's,85,34,19,2020-02-01,5
498,99,Jordan Davis,Slow Dance In A Parking Lot,97,97,3,2020-02-01,5
499,100,Olivia Rodrigo,All I Want,90,90,2,2020-02-01,5
500,1,Roddy Ricch,The Box,1,1,7,2020-02-08,6
501,2,Future Featuring Drake,Life Is Good,2,2,2,2020-02-08,6
502,3,Eminem Featuring Juice WRLD,Godzilla,0,3,1,2020-02-08,6
503,4,Post Malone,Circles,3,1,21,2020-02-08,6
504,5,Maroon 5,Memories,4,2,18,2020-02-08,6
"505,6,Dan + Shay & Justin Bieber,""10,000 Hours"",7,4,16,2020-02-08,6"
506,7,Tones And I,Dance Monkey,8,7,16,2020-02-08,6
507,8,Lewis Capaldi,Someone You Loved,6,1,37,2020-02-08,6
508,9,Arizona Zervas,Roxanne,9,4,12,2020-02-08,6
509,10,Selena Gomez,Lose You To Love Me,5,1,14,2020-02-08,6
510,11,Justin Bieber,Yummy,10,2,3,2020-02-08,6
511,12,Lizzo,Good As Hell,11,3,22,2020-02-08,6
512,13,DaBaby,BOP,12,11,17,2020-02-08,6
513,14,Mustard & Roddy Ricch,Ballin',13,11,27,2020-02-08,6
514,15,Dua Lipa,Don't Start Now,14,14,12,2020-02-08,6
515,16,Jonas Brothers,What A Man Gotta Do,0,16,1,2020-02-08,6
516,17,Travis Scott,HIGHEST IN THE ROOM,15,1,16,2020-02-08,6
517,18,Mac Miller,Good News,17,17,2,2020-02-08,6
518,19,The Weeknd,Heartless,18,1,9,2020-02-08,6
519,20,Roddy Ricch Featuring Mustard,High Fashion,27,20,4,2020-02-08,6
520,21,The Weeknd,Blinding Lights,32,11,8,2020-02-08,6
521,22,Maren Morris,The Bones,23,22,18,2020-02-08,6
522,23,Billie Eilish,Everything I Wanted,22,8,11,2020-02-08,6
523,24,SHAED,Trampoline,20,13,34,2020-02-08,6
524,25,Chris Brown Featuring Drake,No Guidance,19,5,33,2020-02-08,6
525,26,Halsey,You Should Be Sad,29,26,2,2020-02-08,6
526,27,blackbear,Hot Girl Bummer,25,25,19,2020-02-08,6
527,28,Eminem,Darkness,0,28,1,2020-02-08,6
528,29,Lil Baby,Woah,21,16,11,2020-02-08,6
529,30,Shawn Mendes & Camila Cabello,Senorita,24,1,31,2020-02-08,6
530,31,Eminem Featuring Ed Sheeran,Those Kinda Nights,0,31,1,2020-02-08,6
531,32,Harry Styles,Adore You,26,24,7,2020-02-08,6
532,33,Lil Baby,Sum 2 Prove,16,16,2,2020-02-08,6
533,34,YNW Melly & Juice WRLD,Suicidal,39,34,9,2020-02-08,6
534,35,Jonas Brothers,Only Human,34,18,31,2020-02-08,6
535,36,Eminem Featuring Young M.A,Unaccommodating,0,36,1,2020-02-08,6
536,37,Trevor Daniel,Falling,41,31,10,2020-02-08,6
537,38,Mac Miller,Blue World,0,38,1,2020-02-08,6
538,39,Lil Nas X,Panini,28,5,31,2020-02-08,6
539,40,Camila Cabello Featuring DaBaby,My Oh My,44,40,7,2020-02-08,6
540,41,Billie Eilish,Bad Guy,40,1,43,2020-02-08,6
541,42,Young Thug Featuring Gunna,Hot,31,11,23,2020-02-08,6
542,43,Lizzo,Truth Hurts,33,1,38,2020-02-08,6
543,44,Ed Sheeran & Justin Bieber,I Don't Care,38,2,34,2020-02-08,6
544,45,Luke Combs,Even Though I'm Leaving,37,11,21,2020-02-08,6
545,46,Old Dominion,One Man Band,36,20,22,2020-02-08,6
546,47,Juice WRLD & YoungBoy Never Broke Again,Bandit,35,10,16,2020-02-08,6
547,48,Mac Miller,Circles,0,48,1,2020-02-08,6
548,49,Jonas Brothers,Sucker,42,1,42,2020-02-08,6
549,50,Doja Cat & Tyga,Juicy,45,45,13,2020-02-08,6
550,51,Jon Pardi,Heartache Medication,47,47,17,2020-02-08,6
"551,52,""Eminem Featuring Royce da 5'9"""" & White Gold"",You Gon' Learn,0,52,1,2020-02-08,6"
552,53,Sam Hunt,Kinfolks,51,51,15,2020-02-08,6
553,54,Halsey,Graveyard,58,34,19,2020-02-08,6
554,55,Karol G & Nicki Minaj,Tusa,69,55,8,2020-02-08,6
555,56,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,56,53,7,2020-02-08,6
556,57,BTS,Black Swan,0,57,1,2020-02-08,6
557,58,Jhene Aiko,P*$$y Fairy (OTW),0,58,1,2020-02-08,6
558,59,Lil Uzi Vert,Futsal Shuffle 2020,43,5,6,2020-02-08,6
559,60,Dustin Lynch,Ridin' Roads,52,47,12,2020-02-08,6
560,61,Eminem Featuring Skylar Grey,Leaving Heaven,0,61,1,2020-02-08,6
561,62,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),67,62,9,2020-02-08,6
562,63,Mac Miller,Complicated,0,63,1,2020-02-08,6
563,64,Mac Miller,Hand Me Downs,0,64,1,2020-02-08,6
564,65,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,55,28,8,2020-02-08,6
565,66,Kane Brown,Homesick,60,60,10,2020-02-08,6
566,67,Eminem,Premonition (Intro),0,67,1,2020-02-08,6
567,68,Mac Miller,I Can See,0,68,1,2020-02-08,6
568,69,DaBaby,VIBEZ,57,21,17,2020-02-08,6
569,70,H.E.R. Featuring YG,Slide,71,67,5,2020-02-08,6
570,71,Eminem,In Too Deep,0,71,1,2020-02-08,6
571,72,Rod Wave,Heart On Ice,61,54,11,2020-02-08,6
572,73,Gabby Barrett Featuring Charlie Puth,I Hope,64,64,4,2020-02-08,6
573,74,Roddy Ricch & Gunna,Start Wit Me,62,56,10,2020-02-08,6
574,75,Mac Miller,Woods,0,75,1,2020-02-08,6
575,76,Blake Shelton Duet With Gwen Stefani,Nobody But You,0,76,2,2020-02-08,6
576,77,Don Toliver,No Idea,63,43,8,2020-02-08,6
577,78,BrockHampton,SUGAR,66,66,3,2020-02-08,6
578,79,Russ & BIA,BEST ON EARTH,68,68,7,2020-02-08,6
579,80,Mac Miller,Everybody,0,80,1,2020-02-08,6
580,81,Selena Gomez,Rare,30,30,2,2020-02-08,6
581,82,MoneyBagg Yo Featuring Lil Baby,U Played,53,53,3,2020-02-08,6
582,83,Eminem,Marsh,0,83,1,2020-02-08,6
583,84,Eminem Featuring Don Toliver,No Regrets,0,84,1,2020-02-08,6
584,85,JACKBOYS Featuring Young Thug,Out West,65,38,4,2020-02-08,6
585,86,Ingrid Andress,More Hearts Than Mine,76,76,4,2020-02-08,6
586,87,Riley Green,I Wish Grandpas Never Died,75,75,4,2020-02-08,6
587,88,Jimmie Allen,Make Me Want To,74,74,4,2020-02-08,6
588,89,Eminem Featuring Anderson .Paak,Lock It Up,0,89,1,2020-02-08,6
589,90,Luke Bryan,What She Wants Tonight,73,73,5,2020-02-08,6
590,91,Mac Miller,Surf,0,91,1,2020-02-08,6
591,92,Doja Cat Featuring Nicki Minaj,Say So,77,77,3,2020-02-08,6
592,93,Eminem,Stepdad,0,93,1,2020-02-08,6
593,94,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,70,8,20,2020-02-08,6
594,95,Jason Aldean,We Back,72,72,8,2020-02-08,6
595,96,Kelsea Ballerini,homecoming queen?,93,82,7,2020-02-08,6
596,97,Carly Pearce & Lee Brice,I Hope You're Happy Now,87,87,3,2020-02-08,6
597,98,YoungBoy Never Broke Again,Make No Sense,79,57,11,2020-02-08,6
598,99,DaniLeigh Featuring Chris Brown,Easy,81,79,12,2020-02-08,6
599,100,Mac Miller,That's On Me,0,100,1,2020-02-08,6
600,1,Roddy Ricch,The Box,1,1,8,2020-02-15,7
601,2,Future Featuring Drake,Life Is Good,2,2,3,2020-02-15,7
602,3,Post Malone,Circles,4,1,22,2020-02-15,7
603,4,Maroon 5,Memories,5,2,19,2020-02-15,7
604,5,Lewis Capaldi,Someone You Loved,8,1,38,2020-02-15,7
"605,6,Dan + Shay & Justin Bieber,""10,000 Hours"",6,4,17,2020-02-15,7"
606,7,Tones And I,Dance Monkey,7,7,17,2020-02-15,7
607,8,Arizona Zervas,Roxanne,9,4,13,2020-02-15,7
608,9,Dua Lipa,Don't Start Now,15,9,13,2020-02-15,7
609,10,Billie Eilish,Everything I Wanted,23,8,12,2020-02-15,7
610,11,Selena Gomez,Lose You To Love Me,10,1,15,2020-02-15,7
611,12,Eminem Featuring Juice WRLD,Godzilla,3,3,2,2020-02-15,7
612,13,Lizzo,Good As Hell,12,3,23,2020-02-15,7
613,14,DaBaby,BOP,13,11,18,2020-02-15,7
614,15,Justin Bieber,Yummy,11,2,4,2020-02-15,7
615,16,Mustard & Roddy Ricch,Ballin',14,11,28,2020-02-15,7
616,17,Billie Eilish,Bad Guy,41,1,44,2020-02-15,7
617,18,The Weeknd,Blinding Lights,21,11,9,2020-02-15,7
618,19,The Weeknd,Heartless,19,1,10,2020-02-15,7
619,20,Travis Scott,HIGHEST IN THE ROOM,17,1,17,2020-02-15,7
620,21,Maren Morris,The Bones,22,21,19,2020-02-15,7
621,22,Roddy Ricch Featuring Mustard,High Fashion,20,20,5,2020-02-15,7
622,23,blackbear,Hot Girl Bummer,27,23,20,2020-02-15,7
623,24,Chris Brown Featuring Drake,No Guidance,25,5,34,2020-02-15,7
624,25,Lil Baby,Woah,29,16,12,2020-02-15,7
625,26,Shawn Mendes & Camila Cabello,Senorita,30,1,32,2020-02-15,7
626,27,SHAED,Trampoline,24,13,35,2020-02-15,7
627,28,Halsey,You Should Be Sad,26,26,3,2020-02-15,7
628,29,Harry Styles,Adore You,32,24,8,2020-02-15,7
629,30,Jonas Brothers,What A Man Gotta Do,16,16,2,2020-02-15,7
630,31,Megan Thee Stallion,B.I.T.C.H.,0,31,1,2020-02-15,7
631,32,Lizzo,Truth Hurts,43,1,39,2020-02-15,7
632,33,Trevor Daniel,Falling,37,31,11,2020-02-15,7
633,34,Demi Lovato,Anyone,0,34,1,2020-02-15,7
634,35,Camila Cabello Featuring DaBaby,My Oh My,40,35,8,2020-02-15,7
635,36,YNW Melly & Juice WRLD,Suicidal,34,34,10,2020-02-15,7
636,37,Jonas Brothers,Only Human,35,18,32,2020-02-15,7
637,38,Lil Baby,Sum 2 Prove,33,16,3,2020-02-15,7
638,39,Jonas Brothers,Sucker,49,1,43,2020-02-15,7
639,40,Old Dominion,One Man Band,46,20,23,2020-02-15,7
640,41,Luke Combs,Even Though I'm Leaving,45,11,22,2020-02-15,7
641,42,Jon Pardi,Heartache Medication,51,42,18,2020-02-15,7
642,43,Blake Shelton Duet With Gwen Stefani,Nobody But You,76,43,3,2020-02-15,7
643,44,Ed Sheeran & Justin Bieber,I Don't Care,44,2,35,2020-02-15,7
644,45,Young Thug Featuring Gunna,Hot,42,11,24,2020-02-15,7
645,46,Sam Hunt,Kinfolks,53,46,16,2020-02-15,7
646,47,Juice WRLD & YoungBoy Never Broke Again,Bandit,47,10,17,2020-02-15,7
647,48,Doja Cat & Tyga,Juicy,50,45,14,2020-02-15,7
648,49,Lil Nas X,Panini,39,5,32,2020-02-15,7
649,50,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border,56,50,8,2020-02-15,7
650,51,Karol G & Nicki Minaj,Tusa,55,51,9,2020-02-15,7
651,52,Kane Brown,Homesick,66,52,11,2020-02-15,7
652,53,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),62,53,10,2020-02-15,7
653,54,Mac Miller,Good News,18,17,3,2020-02-15,7
654,55,Jhene Aiko,P*$$y Fairy (OTW),58,55,2,2020-02-15,7
655,56,Gabby Barrett Featuring Charlie Puth,I Hope,73,56,5,2020-02-15,7
656,57,H.E.R. Featuring YG,Slide,70,57,6,2020-02-15,7
657,58,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,65,28,9,2020-02-15,7
658,59,Rod Wave,Heart On Ice,72,54,12,2020-02-15,7
659,60,Lil Uzi Vert,Futsal Shuffle 2020,59,5,7,2020-02-15,7
660,61,DaBaby,VIBEZ,69,21,18,2020-02-15,7
661,62,Russ & BIA,BEST ON EARTH,79,62,8,2020-02-15,7
662,63,JACKBOYS Featuring Young Thug,Out West,85,38,5,2020-02-15,7
663,64,Halsey,Graveyard,54,34,20,2020-02-15,7
664,65,Luke Bryan,What She Wants Tonight,90,65,6,2020-02-15,7
665,66,Don Toliver,No Idea,77,43,9,2020-02-15,7
666,67,Dustin Lynch,Ridin' Roads,60,47,13,2020-02-15,7
667,68,Ingrid Andress,More Hearts Than Mine,86,68,5,2020-02-15,7
668,69,BrockHampton,SUGAR,78,66,4,2020-02-15,7
669,70,Riley Green,I Wish Grandpas Never Died,87,70,5,2020-02-15,7
670,71,Roddy Ricch & Gunna,Start Wit Me,74,56,11,2020-02-15,7
671,72,Jimmie Allen,Make Me Want To,88,72,5,2020-02-15,7
672,73,Doja Cat Featuring Nicki Minaj,Say So,92,73,4,2020-02-15,7
673,74,Jason Aldean,We Back,95,72,9,2020-02-15,7
674,75,Carly Pearce & Lee Brice,I Hope You're Happy Now,97,75,4,2020-02-15,7
675,76,Kelsea Ballerini,homecoming queen?,96,76,8,2020-02-15,7
676,77,MoneyBagg Yo Featuring Lil Baby,U Played,82,53,4,2020-02-15,7
677,78,Mac Miller,Blue World,38,38,2,2020-02-15,7
678,79,YoungBoy Never Broke Again,Make No Sense,98,57,12,2020-02-15,7
679,80,Meek Mill Featuring Roddy Ricch,Letter To Nipsey,0,80,1,2020-02-15,7
680,81,Tory Lanez & T-Pain,Jerry Sprunger,0,44,8,2020-02-15,7
681,82,Morgan Wallen,Chasin' You,0,82,1,2020-02-15,7
682,83,Selena Gomez,Rare,81,30,3,2020-02-15,7
683,84,Jordan Davis,Slow Dance In A Parking Lot,0,84,4,2020-02-15,7
684,85,Lewis Capaldi,Before You Go,0,85,1,2020-02-15,7
685,86,Eminem Featuring Ed Sheeran,Those Kinda Nights,31,31,2,2020-02-15,7
686,87,Bad Bunny,Vete,0,33,9,2020-02-15,7
687,88,Jake Owen,Homemade,0,88,1,2020-02-15,7
688,89,DaniLeigh Featuring Chris Brown,Easy,99,79,13,2020-02-15,7
689,90,Summer Walker & Usher,Come Thru,0,42,7,2020-02-15,7
690,91,Eminem,Darkness,28,28,2,2020-02-15,7
691,92,NLE Choppa,Camelot,0,37,19,2020-02-15,7
692,93,Alicia Keys,Underdog,0,93,1,2020-02-15,7
693,94,Camila Cabello,First Man,0,94,1,2020-02-15,7
694,95,Ali Gatie,What If I Told You That I Love You,0,95,1,2020-02-15,7
695,96,Brett Young,Catch,0,96,1,2020-02-15,7
696,97,Eminem Featuring Young M.A,Unaccommodating,36,36,2,2020-02-15,7
697,98,Noah Cyrus & Leon Bridges,July,0,91,4,2020-02-15,7
"698,99,""Eminem Featuring Royce da 5'9"""" & White Gold"",You Gon' Learn,52,52,2,2020-02-15,7"
699,100,Garth Brooks & Blake Shelton,Dive Bar,0,100,1,2020-02-15,7
700,1,Roddy Ricch,The Box,1,1,9,2020-02-22,8
701,2,Future Featuring Drake,Life Is Good,2,2,4,2020-02-22,8
702,3,Post Malone,Circles,3,1,23,2020-02-22,8
703,4,Maroon 5,Memories,4,2,20,2020-02-22,8
704,5,Tones And I,Dance Monkey,7,5,18,2020-02-22,8
705,6,Lewis Capaldi,Someone You Loved,5,1,39,2020-02-22,8
706,7,Arizona Zervas,Roxanne,8,4,14,2020-02-22,8
"707,8,Dan + Shay & Justin Bieber,""10,000 Hours"",6,4,18,2020-02-22,8"
708,9,Dua Lipa,Don't Start Now,9,9,14,2020-02-22,8
709,10,Billie Eilish,Everything I Wanted,10,8,13,2020-02-22,8
710,11,Selena Gomez,Lose You To Love Me,11,1,16,2020-02-22,8
711,12,Mustard & Roddy Ricch,Ballin',16,11,29,2020-02-22,8
712,13,DaBaby,BOP,14,11,19,2020-02-22,8
713,14,Justin Bieber,Yummy,15,2,5,2020-02-22,8
714,15,The Weeknd,Blinding Lights,18,11,10,2020-02-22,8
715,16,Lizzo,Good As Hell,13,3,24,2020-02-22,8
716,17,The Weeknd,Heartless,19,1,11,2020-02-22,8
717,18,Maren Morris,The Bones,21,18,20,2020-02-22,8
718,19,blackbear,Hot Girl Bummer,23,19,21,2020-02-22,8
719,20,Eminem Featuring Juice WRLD,Godzilla,12,3,3,2020-02-22,8
720,21,Roddy Ricch Featuring Mustard,High Fashion,22,20,6,2020-02-22,8
721,22,Chris Brown Featuring Drake,No Guidance,24,5,35,2020-02-22,8
722,23,Harry Styles,Adore You,29,23,9,2020-02-22,8
723,24,Lil Baby,Woah,25,16,13,2020-02-22,8
724,25,Billie Eilish,Bad Guy,17,1,45,2020-02-22,8
725,26,Travis Scott,HIGHEST IN THE ROOM,20,1,18,2020-02-22,8
726,27,Trevor Daniel,Falling,33,27,12,2020-02-22,8
727,28,Shawn Mendes & Camila Cabello,Senorita,26,1,33,2020-02-22,8
728,29,Jonas Brothers,What A Man Gotta Do,30,16,3,2020-02-22,8
729,30,Halsey,You Should Be Sad,28,26,4,2020-02-22,8
730,31,Camila Cabello Featuring DaBaby,My Oh My,35,31,9,2020-02-22,8
731,32,SHAED,Trampoline,27,13,36,2020-02-22,8
732,33,Lil Wayne Featuring Big Sean & Lil Baby,I Do It,0,33,1,2020-02-22,8
733,34,Sam Hunt,Kinfolks,46,34,17,2020-02-22,8
734,35,Lizzo,Truth Hurts,32,1,40,2020-02-22,8
735,36,Old Dominion,One Man Band,40,20,24,2020-02-22,8
736,37,Jonas Brothers,Only Human,37,18,33,2020-02-22,8
737,38,Jonas Brothers,Sucker,39,1,44,2020-02-22,8
738,39,YNW Melly & Juice WRLD,Suicidal,36,34,11,2020-02-22,8
739,40,Ed Sheeran & Justin Bieber,I Don't Care,44,2,36,2020-02-22,8
740,41,Doja Cat & Tyga,Juicy,48,41,15,2020-02-22,8
741,42,Karol G & Nicki Minaj,Tusa,51,42,10,2020-02-22,8
742,43,Luke Combs,Even Though I'm Leaving,41,11,23,2020-02-22,8
743,44,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),53,44,11,2020-02-22,8
744,45,Juice WRLD & YoungBoy Never Broke Again,Bandit,47,10,18,2020-02-22,8
745,46,Lil Baby,Sum 2 Prove,38,16,4,2020-02-22,8
